OBJECTID1,FID,OBJECTID,Name,Acres,Neighborho,SqMiles,ShapeSTAre,ShapeSTLen,COUNT,SHAPE_Length,SHAPE_Area
1,9,36,South End,471.5353556,32,0.74,20539997.93,17912.33357,264,17912.33357,20539997.93
2,0,27,Roslindale,1605.568238,15,2.51,69938272.67,53563.9126,104,54784.86024,69934277.13
3,4,31,Bay Village,26.53983916,33,0.04,1156070.771,4650.635493,20,4650.635493,1156070.769
4,17,44,Brighton,1840.408596,25,2.88,80167877.78,48787.51965,235,59853.41238,75780696.75
5,3,30,Longwood,188.6119467,28,0.29,8215903.537,11908.75715,48,12459.60617,8065833.081
6,13,40,West End,190.4907324,31,0.3,8297743.114,17728.59003,80,18682.37155,8258522.893
7,8,35,Roxbury,2108.469072,16,3.29,91844545.39,49488.80048,460,55779.82706,91521801.24
8,16,43,Fenway,560.6184614,34,0.88,24420442.49,24620.87645,196,41778.45904,23694231.25
9,21,48,Dorchester,4662.879457,6,7.29,203114216.7,104344.034,739,108920.5942,202977627.7
10,12,39,Charlestown,871.5412229,4,1.36,37964183.81,57509.68864,116,62584.84458,37206341.81
11,7,34,North End,126.910439,14,0.2,5527505.989,16177.82682,103,16177.82616,5527505.993
12,20,47,Mattapan,1352.098354,12,2.11,58897168.69,42005.77371,181,51991.46347,58406472.83
13,15,42,Downtown,397.4728464,7,0.62,17313847.93,34612.80444,257,34112.51835,17089421.31
14,11,38,East Boston,3012.059593,8,4.71,131384488,121089.1009,189,120643.7854,131109773.6
15,14,41,Beacon Hill,200.156904,30,0.31,8718799.859,14303.82902,108,18980.39912,8480076.907
16,24,51,Allston,998.5344787,24,1.56,43495987.9,37859.09124,148,37876.61916,43493483.02
17,19,46,Hyde Park,2927.221168,10,4.57,127509244,66861.24496,126,111973.0717,125021808.3
18,23,50,South Boston,1439.888807,17,2.25,62721305.56,64998.42028,387,64898.02564,62636172.65
19,18,45,West Roxbury,3516.421786,19,5.49,153174720.3,66067.41984,171,115666.1494,149958274.7
20,6,33,Chinatown,76.32440999,26,0.12,3324678,9736.590413,42,9736.590413,3324678
21,2,29,Mission Hill,350.8535636,13,0.55,15283120.1,17918.72411,112,17554.48102,15189295.77
22,22,49,South Boston Waterfront,621.8435237,29,0.97,27087395.55,38391.35291,69,38390.94104,27086999.79
23,5,32,Leather District,15.63990811,27,0.02,681271.6719,3237.140537,5,3237.140537,681271.672
24,10,37,Back Bay,399.3144111,2,0.62,17394066.16,19455.67115,246,26844.88176,16959005.23
25,1,28,Jamaica Plain,2519.245394,11,3.94,109737890.4,56349.93716,247,77216.6256,106171031.5
